gene_row_idx,gene_identifier,degree,degree_bin
1067,1511,202,7
1068,1512,211,8
1069,1513,441,9
1070,1514,843,9
1071,1515,232,8
1072,1519,112,5
1073,1520,233,8
1074,1521,51,3
1075,1522,169,7
1076,1523,208,8
1077,1524,222,8
1078,1525,345,9
1079,1527,13,1
1080,1528,262,8
1081,1534,162,7
1082,1535,324,8
1083,1536,159,7
1084,1537,192,7
1085,1538,33,2
1086,1539,49,2
1087,1540,320,8
1088,1543,390,9
1089,1544,375,9
1090,1545,303,8
1091,1548,150,6
1092,1549,46,2
1093,1551,150,6
1094,1553,51,3
1095,1555,207,8
1096,1557,290,8
1097,1558,268,8
1098,1559,368,9
1099,1562,95,5
1100,1565,447,9
1101,1571,264,8
1102,1572,52,3
1103,1573,120,6
1104,1576,658,9
1105,1577,286,8
1106,1579,135,6
1107,1580,99,5
1108,1581,111,5
1109,1582,63,3
1110,1583,124,6
1111,1584,106,5
1112,1585,140,6
1113,1586,209,8
1114,1588,170,7
1115,1589,46,2
1116,1591,116,5
1117,1592,79,4
1118,1593,131,6
1119,1594,203,7
1120,1595,225,8
1121,1600,273,8
1122,1601,313,8
1123,1602,120,6
1124,1603,142,6
1125,1604,287,8
1126,1605,447,9
1127,1606,130,6
1128,1607,59,3
1129,1608,108,5
1130,1609,152,7
1131,1610,109,5
1132,1611,202,7
1133,1612,247,8
1134,1613,342,9
1135,1615,150,6
1136,1616,804,9
1137,1617,47,2
1138,1618,110,5
1139,1620,80,4
1140,1621,165,7
1141,1622,182,7
1142,1627,193,7
1143,1628,74,4
1144,1629,93,5
1145,1630,163,7
1146,1632,155,7
1147,1633,427,9
1148,1634,348,9
1149,1635,420,9
1150,1636,294,8
1151,1638,95,5
1152,1639,350,9
1153,1641,151,6
1154,1642,619,9
1155,1643,533,9
1156,1644,183,7
1157,1645,198,7
1158,1646,238,8
1159,1647,798,9
1160,1649,705,9
1161,1650,413,9
1162,1652,104,5
1163,1653,228,8
1164,1654,520,9
1165,1655,547,9
1166,1656,209,8
1167,1657,81,4
1168,1659,181,7
1169,1660,657,9
1170,1662,274,8
1171,1663,131,6
1172,1665,433,9
1173,1666,584,9
1174,1667,81,4
1175,1668,62,3
1176,1669,63,3
1177,1670,36,2
1178,1671,33,2
1179,1672,163,7
1180,1673,38,2
1181,1674,180,7
1182,1675,198,7
1183,1676,257,8
1184,1677,302,8
1185,1678,78,4
1186,1687,107,5
1187,1690,82,4
1188,1716,149,6
1189,1717,511,9
1190,1718,248,8
1191,1719,287,8
1192,1723,141,6
1193,1725,248,8
1194,1727,167,7
1195,1728,491,9
1196,1729,208,8
1197,1730,110,5
1198,1731,59,3
1199,1733,43,2
1200,1734,108,5
1201,1735,162,7
1202,1736,254,8
1203,1737,192,7
1204,1738,1221,9
1205,1739,610,9
1206,1740,234,8
1207,1741,302,8
1208,1742,560,9
1209,1743,207,8
1210,1745,93,5
1211,1746,301,8
1212,1747,235,8
1213,1748,255,8
1214,1749,188,7
1215,1750,54,3
1216,1755,103,5
1217,1756,551,9
1218,1757,50,2
1219,1758,30,2
1220,1759,567,9
1221,1760,204,7
1222,1761,131,6
1223,1762,126,6
1224,1763,172,7
1225,1767,87,4
1226,1768,41,2
1227,1769,110,5
1228,1770,65,3
1229,1773,52,3
1230,1774,128,6
1231,1775,51,3
1232,1776,87,4
1233,1777,98,5
1234,1778,273,8
1235,1780,208,8
1236,1781,131,6
1237,1783,152,7
1238,1785,576,9
1239,1786,620,9
1240,1787,71,4
1241,1788,466,9
1242,1789,348,9
1243,1791,76,4
1244,1793,175,7
1245,1794,192,7
1246,1795,115,5
1247,1796,200,7
1248,1797,102,5
1249,1798,132,6
1250,1800,154,7
1251,1801,51,3
1252,1802,352,9
1253,1803,285,8
1254,1804,117,5
1255,1805,110,5
1256,1806,149,6
1257,1807,80,4
1258,1808,881,9
1259,1809,188,7
1260,1810,128,6
1261,1811,127,6
1262,1812,479,9
1263,1813,686,9
1264,1814,353,9
1265,1815,329,9
1266,1816,207,8
1267,1819,108,5
1268,1820,90,4
1269,1821,61,3
1270,1822,261,8
1271,1823,64,3
1272,1824,140,6
1273,1825,76,4
1274,1826,124,6
1275,1827,135,6
1276,1828,110,5
1277,1829,266,8
1278,1830,78,4
1279,1831,454,9
1280,1832,347,9
1281,1833,27,2
1282,1834,67,3
1283,1836,224,8
1284,1837,313,8
1285,1838,103,5
1286,1839,276,8
1287,1840,257,8
1288,1841,200,7
1289,1842,85,4
1290,1843,336,9
1291,1844,108,5
1292,1845,332,9
1293,1846,304,8
1294,1847,198,7
1295,1848,354,9
1296,1849,255,8
1297,1850,121,6
1298,1852,153,7
1299,1854,347,9
1300,1855,416,9
1301,1856,811,9
1302,1857,330,9
1303,1859,214,8
1304,1861,267,8
1305,1869,558,9
1306,1870,469,9
1307,1871,189,7
1308,1874,265,8
1309,1875,268,8
1310,1876,159,7
1311,1877,120,6
1312,1879,320,8
1313,1880,113,5
1314,1889,211,8
1315,1890,151,6
1316,1891,413,9
1317,1892,255,8
1318,1893,159,7
1319,1894,281,8
1320,1896,136,6
1321,1901,238,8
1322,1902,324,8
1323,1903,131,6
1324,1906,724,9
1325,1907,256,8
1326,1908,226,8
1327,1909,370,9
1328,1910,309,8
1329,1911,164,7
1330,1912,218,8
1331,1915,958,9
1332,1917,749,9
1333,1933,282,8
1334,1936,346,9
1335,1937,282,8
1336,1938,439,9
1337,1939,115,5
1338,1942,250,8
1339,1943,74,4
1340,1944,122,6
1341,1945,83,4
1342,1946,201,7
1343,1947,177,7
1344,1948,283,8
1345,1949,203,7
1346,1950,728,9
1347,1951,158,7
1348,1952,239,8
1349,1953,39,2
1350,1954,337,9
1351,1955,283,8
1352,1956,1499,9
1353,1958,1229,9
1354,1959,262,8
1355,1960,340,9
1356,1961,61,3
1357,1962,211,8
1358,1964,217,8
1359,1965,306,8
1360,1967,121,6
1361,1968,128,6
1362,1969,556,9
1363,1973,272,8
1364,1974,421,9
1365,1975,334,9
1366,1977,346,9
1367,1978,926,9
1368,1979,156,7
1369,1981,324,8
1370,1982,149,6
1371,1983,271,8
1372,1984,193,7
1373,1990,107,5
1374,1991,328,9
1375,1992,124,6
1376,1993,65,3
1377,1994,548,9
1378,1995,147,6
1379,1996,75,4
1380,1997,234,8
1381,1998,80,4
1382,1999,214,8
1383,2000,228,8
1384,2001,80,4
1385,2002,412,9
1386,2004,258,8
1387,2005,82,4
1388,2006,134,6
1389,2009,103,5
1390,2010,391,9
1391,2011,314,8
1392,2012,52,3
1393,2013,182,7
1394,2014,133,6
1395,2015,193,7
1396,2016,77,4
1397,2017,373,9
1398,2018,105,5
1399,2019,83,4
1400,2020,64,3
1401,2021,221,8
1402,2022,313,8
1403,2023,554,9
1404,2026,320,8
1405,2027,159,7
1406,2028,100,5
1407,2029,163,7
1408,2030,200,7
1409,2033,1495,9
1410,2034,480,9
1411,2035,391,9
1412,2036,179,7
1413,2037,288,8
1414,2038,87,4
1415,2039,293,8
1416,2040,221,8
1417,2041,153,7
1418,2042,252,8
1419,2043,285,8
1420,2044,127,6
1421,2045,166,7
1422,2046,113,5
1423,2047,185,7
1424,2048,314,8
1425,2049,180,7
1426,2050,280,8
1427,2051,162,7
1428,2052,140,6
1429,2053,165,7
1430,2054,181,7
1431,2055,227,8
1432,2056,263,8
1433,2057,309,8
1434,2058,567,9
1435,2059,399,9
1436,2060,286,8
1437,2063,474,9
1438,2064,978,9
1439,2065,662,9
1440,2066,518,9
1441,2067,436,9
1442,2068,357,9
1443,2069,249,8
1444,2070,71,4
1445,2071,339,9
1446,2072,332,9
1447,2073,236,8
1448,2074,218,8
1449,2077,139,6
1450,2078,461,9
1451,2079,294,8
1452,2081,206,7
1453,2086,18,1
1454,2090,0,0
1455,2091,535,9
1456,2097,0,0
